scope,capacity_fraction,reviewed,known_illicit,known_licit,unknown,precision_at_k_known,recall_at_k_known,precision_lower_bound_all,precision_upper_bound_all,experiment_id,split
labeled_only,0.02,185,176,9,0,0.9513513513513514,0.16955684007707128,0.9513513513513514,0.9513513513513514,named_xgboost_tx,validation
labeled_only,0.05,456,364,92,0,0.7982456140350878,0.35067437379576105,0.7982456140350878,0.7982456140350878,named_xgboost_tx,validation
labeled_only,0.1,905,601,304,0,0.6640883977900552,0.5789980732177264,0.6640883977900552,0.6640883977900552,named_xgboost_tx,validation
labeled_only,0.2,1804,773,1031,0,0.4284922394678492,0.7447013487475915,0.4284922394678492,0.4284922394678492,named_xgboost_tx,validation
all_transactions,0.01,368,149,3,216,0.9802631578947368,0.14354527938342967,0.4048913043478261,0.9918478260869565,named_xgboost_tx,validation
all_transactions,0.02,732,261,25,446,0.9125874125874126,0.2514450867052023,0.35655737704918034,0.9658469945355191,named_xgboost_tx,validation
all_transactions,0.05,1821,490,95,1236,0.8376068376068376,0.4720616570327553,0.26908292147171886,0.9478308621636463,named_xgboost_tx,validation
all_transactions,0.1,3637,654,260,2723,0.7155361050328227,0.630057803468208,0.17981853175694254,0.9285125103106956,named_xgboost_tx,validation
all_transactions,0.2,7269,747,733,5789,0.5047297297297297,0.7196531791907514,0.10276516714816343,0.8991608199202091,named_xgboost_tx,validation
labeled_only,0.01,117,34,83,0,0.2905982905982906,0.05345911949685535,0.2905982905982906,0.2905982905982906,named_xgboost_tx,test
labeled_only,0.02,229,79,150,0,0.34497816593886466,0.12421383647798742,0.34497816593886466,0.34497816593886466,named_xgboost_tx,test
labeled_only,0.05,564,210,354,0,0.3723404255319149,0.330188679245283,0.3723404255319149,0.3723404255319149,named_xgboost_tx,test
labeled_only,0.1,1125,315,810,0,0.28,0.49528301886792453,0.28,0.28,named_xgboost_tx,test
labeled_only,0.2,2243,365,1878,0,0.16272848863129738,0.5738993710691824,0.16272848863129738,0.16272848863129738,named_xgboost_tx,test
all_transactions,0.01,471,56,30,385,0.6511627906976745,0.0880503144654088,0.11889596602972399,0.9363057324840764,named_xgboost_tx,test
all_transactions,0.02,938,132,53,753,0.7135135135135136,0.20754716981132076,0.14072494669509594,0.9434968017057569,named_xgboost_tx,test
all_transactions,0.05,2337,244,158,1935,0.6069651741293532,0.3836477987421384,0.10440735986307231,0.9323919554985024,named_xgboost_tx,test
all_transactions,0.1,4670,316,618,3736,0.33832976445396146,0.4968553459119497,0.06766595289079229,0.8676659528907923,named_xgboost_tx,test
all_transactions,0.2,9333,361,1671,7301,0.17765748031496062,0.5676100628930818,0.038679952855459124,0.8209578913532626,named_xgboost_tx,test
labeled_only,0.01,96,94,2,0,0.9791666666666666,0.0905587668593449,0.9791666666666666,0.9791666666666666,named_xgboost_graph,validation
labeled_only,0.02,185,176,9,0,0.9513513513513514,0.16955684007707128,0.9513513513513514,0.9513513513513514,named_xgboost_graph,validation
labeled_only,0.05,456,366,90,0,0.8026315789473685,0.35260115606936415,0.8026315789473685,0.8026315789473685,named_xgboost_graph,validation
labeled_only,0.1,905,606,299,0,0.6696132596685083,0.5838150289017341,0.6696132596685083,0.6696132596685083,named_xgboost_graph,validation
labeled_only,0.2,1804,790,1014,0,0.4379157427937916,0.7610789980732178,0.4379157427937916,0.4379157427937916,named_xgboost_graph,validation
all_transactions,0.01,368,148,3,217,0.9801324503311258,0.14258188824662812,0.40217391304347827,0.9918478260869565,named_xgboost_graph,validation
all_transactions,0.02,732,270,7,455,0.9747292418772563,0.26011560693641617,0.36885245901639346,0.9904371584699454,named_xgboost_graph,validation
all_transactions,0.05,1821,512,55,1254,0.9029982363315696,0.4932562620423892,0.2811641954969797,0.9697968149368479,named_xgboost_graph,validation
all_transactions,0.1,3637,656,220,2761,0.7488584474885844,0.6319845857418112,0.18036843552378334,0.9395105856475117,named_xgboost_graph,validation
all_transactions,0.2,7269,749,663,5857,0.5304532577903682,0.7215799614643545,0.10304030815793094,0.9087907552620718,named_xgboost_graph,validation
labeled_only,0.01,117,48,69,0,0.41025641025641024,0.07547169811320754,0.41025641025641024,0.41025641025641024,named_xgboost_graph,test
labeled_only,0.02,229,93,136,0,0.40611353711790393,0.14622641509433962,0.40611353711790393,0.40611353711790393,named_xgboost_graph,test
labeled_only,0.05,564,215,349,0,0.38120567375886527,0.3380503144654088,0.38120567375886527,0.38120567375886527,named_xgboost_graph,test
labeled_only,0.1,1125,329,796,0,0.29244444444444445,0.5172955974842768,0.29244444444444445,0.29244444444444445,named_xgboost_graph,test
labeled_only,0.2,2243,394,1849,0,0.17565760142666073,0.6194968553459119,0.17565760142666073,0.17565760142666073,named_xgboost_graph,test
all_transactions,0.01,471,83,18,370,0.8217821782178217,0.13050314465408805,0.1762208067940552,0.9617834394904459,named_xgboost_graph,test
all_transactions,0.02,938,142,52,744,0.7319587628865979,0.22327044025157233,0.1513859275053305,0.9445628997867804,named_xgboost_graph,test
all_transactions,0.05,2337,273,140,1924,0.6610169491525424,0.42924528301886794,0.11681643132220795,0.940094137783483,named_xgboost_graph,test
all_transactions,0.1,4670,324,530,3816,0.3793911007025761,0.5094339622641509,0.06937901498929336,0.8865096359743041,named_xgboost_graph,test
all_transactions,0.2,9333,389,1427,7517,0.21420704845814978,0.6116352201257862,0.04168006000214294,0.8471016822029358,named_xgboost_graph,test
