scope,capacity_fraction,reviewed,known_illicit,known_licit,unknown,precision_at_k_known,recall_at_k_known,precision_lower_bound_all,precision_upper_bound_all,experiment_id,split
labeled_only,0.01,96,17,79,0,0.17708333333333334,0.016377649325626204,0.17708333333333334,0.17708333333333334,extended_logistic_tx,validation
labeled_only,0.02,185,40,145,0,0.21621621621621623,0.038535645472061654,0.21621621621621623,0.21621621621621623,extended_logistic_tx,validation
labeled_only,0.05,456,131,325,0,0.28728070175438597,0.12620423892100194,0.28728070175438597,0.28728070175438597,extended_logistic_tx,validation
labeled_only,0.1,905,374,531,0,0.41325966850828727,0.3603082851637765,0.41325966850828727,0.41325966850828727,extended_logistic_tx,validation
labeled_only,0.2,1804,793,1011,0,0.43957871396895787,0.7639691714836223,0.43957871396895787,0.43957871396895787,extended_logistic_tx,validation
all_transactions,0.01,368,9,108,251,0.07692307692307693,0.008670520231213872,0.024456521739130436,0.7065217391304348,extended_logistic_tx,validation
all_transactions,0.02,732,10,164,558,0.05747126436781609,0.009633911368015413,0.01366120218579235,0.7759562841530054,extended_logistic_tx,validation
all_transactions,0.05,1821,36,337,1448,0.09651474530831099,0.03468208092485549,0.019769357495881382,0.814936847885777,extended_logistic_tx,validation
all_transactions,0.1,3637,157,510,2970,0.2353823088455772,0.151252408477842,0.043167445697003023,0.8597745394555952,extended_logistic_tx,validation
all_transactions,0.2,7269,704,701,5864,0.501067615658363,0.6782273603082851,0.09684963543816205,0.9035630760764892,extended_logistic_tx,validation
labeled_only,0.01,117,5,112,0,0.042735042735042736,0.007861635220125786,0.042735042735042736,0.042735042735042736,extended_logistic_tx,test
labeled_only,0.02,229,7,222,0,0.03056768558951965,0.0110062893081761,0.03056768558951965,0.03056768558951965,extended_logistic_tx,test
labeled_only,0.05,564,55,509,0,0.0975177304964539,0.08647798742138364,0.0975177304964539,0.0975177304964539,extended_logistic_tx,test
labeled_only,0.1,1125,210,915,0,0.18666666666666668,0.330188679245283,0.18666666666666668,0.18666666666666668,extended_logistic_tx,test
labeled_only,0.2,2243,428,1815,0,0.190815871600535,0.6729559748427673,0.190815871600535,0.190815871600535,extended_logistic_tx,test
all_transactions,0.01,471,5,110,356,0.043478260869565216,0.007861635220125786,0.010615711252653927,0.7664543524416136,extended_logistic_tx,test
all_transactions,0.02,938,6,188,744,0.030927835051546393,0.009433962264150943,0.006396588486140725,0.7995735607675906,extended_logistic_tx,test
all_transactions,0.05,2337,23,369,1945,0.058673469387755105,0.036163522012578615,0.009841677364142062,0.8421052631578947,extended_logistic_tx,test
all_transactions,0.1,4670,173,679,3818,0.20305164319248825,0.2720125786163522,0.037044967880085655,0.8546038543897216,extended_logistic_tx,test
all_transactions,0.2,9333,383,1253,7697,0.2341075794621027,0.6022012578616353,0.041037179899282114,0.8657452051858995,extended_logistic_tx,test
labeled_only,0.01,96,24,72,0,0.25,0.023121387283236993,0.25,0.25,extended_logistic_graph,validation
labeled_only,0.02,185,56,129,0,0.3027027027027027,0.05394990366088632,0.3027027027027027,0.3027027027027027,extended_logistic_graph,validation
labeled_only,0.05,456,170,286,0,0.37280701754385964,0.16377649325626203,0.37280701754385964,0.37280701754385964,extended_logistic_graph,validation
labeled_only,0.1,905,424,481,0,0.4685082872928177,0.40847784200385356,0.4685082872928177,0.4685082872928177,extended_logistic_graph,validation
labeled_only,0.2,1804,781,1023,0,0.4329268292682927,0.7524084778420038,0.4329268292682927,0.4329268292682927,extended_logistic_graph,validation
